uid	SARC_DT:R2-V5	SARC_DT:R2-V13	SARC_DT:R2-V3	SARC_DT:R2-V1	SARC_DT:R2-V26	SARC_DT:R2-V16	SARC_DT:R1-V2	SARC_DT:R1-V8	SARC_DT:R3-V6	SARC_DT:R3-V14	SARC_DA:R1-V4	SARC_DA:R1-V7	SARC_DA:R3-V12	SARC_DA:R3-V25	SARC_DA:R3-V3	SARC_DA:R3-V6	SARC_DA:R3-V29	SARC_BT:R2-V23	SARC_BT:R2-V12	SARC_BT:R2-V20	SARC_BT:R2-V15	SARC_BT:R2-V7	SARC_BT:R2-V17	SARC_BT:R2-V18	SARC_BT:R2-V1	SARC_BT:R2-V28	SARC_BT:R2-V26	SARC_BT:R2-V9	SARC_BT:R2-V8	SARC_BT:R2-V29	SARC_BT:R2-V22	SARC_BT:R2-V14	SARC_BT:R1-V2	SARC_BA:R2-V1	SARC_BA:R1-V1
TCGA-VT-A80J-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-DX-AB2E-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-PC-A5DN-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0
TCGA-SI-AA8B-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-WP-A9GB-01A	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0
TCGA-DX-A8BU-01A	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-Z4-AAPF-01A	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-DX-AB2Z-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-3B-A9HR-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0
TCGA-DX-AB3A-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
